participant_id,session_id,turn_number,condition,synchrony_lsm,synchrony_embedding,stability_score,coherence_score,user_style_vector,bot_style_vector
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,9,static,0.9414473800036148,0.9567213654518129,0.5852909445133355,0.4394277210912235,"[0.002872413257136941, 0.9357, 23.0, 51.89, 0, 0, 0, 0.2753623188405797]","[0.0026366899255663157, 0.9063, 18.666666666666668, 71.85, 0, 0, 0, 0.3392857142857143]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,10,static,0.8343221378264151,0.952030599117279,0.3012449721081034,0.3988812138467124,"[0.05180787667632103, 0.9075, 17.5, 67.42, 0, 0, 0, 0.2857142857142857]","[0.0022990512661635876, 0.2975, 19.666666666666668, 78.89, 0, 0, 0, 0.3220338983050847]"
67d75f1ff8a898b755874144,5a438280-a41e-42f5-b125-7bd18af5fc98,11,static,0.8913246841584058,0.9749560356140136,0.5391683800249065,0.8761039271603479,"[0.0022990512661635876, 0.2975, 19.666666666666668, 78.89, 0, 0, 0, 0.3220338983050847]","[0.0026700012385845184, 0.6908, 20.333333333333332, 78.28, 0, 0, 0, 0.4426229508196721]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,1,adaptive,0.8274385490768509,0.756567120552063,,0.2757897357698693,"[0.7651627659797668, 0, 8.0, 89.75, 0, 0, 0, 0.375]","[0.002768896287307143, 0.7717, 10.5, 71.31, 0, 0, 0, 0.38095238095238093]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,2,adaptive,0.8642144040656558,0.6650193333625793,0.4280054150041761,0.059094476764848,"[0.9802536964416504, 0, 10.0, 95.17, 0, 0, 0, 0.3]","[0.000995613168925047, 0.6597, 10.5, 87.72, 0, 0, 0, 0.2857142857142857]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,3,adaptive,0.4755527954396006,0.7279550433158875,0.7436590454718436,-0.5673514824291443,"[0.005262085236608982, 0, 9.0, 80.28, 0, 0, 0, 0.4444444444444444]","[0.0037516301963478327, 0.8126, 13.0, 68.77, 0, 0, 0, 0.3076923076923077]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,4,adaptive,0.6819844998614368,0.7223999500274658,-0.2871596651923112,0.6510577044324097,"[0.9837803244590759, 0.5106, 6.0, 99.23, 0, 0, 0, 0.6666666666666666]","[0.022355753928422928, 0.8126, 12.0, 78.25, 0, 0, 0, 0.5]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,5,adaptive,0.473343155542641,0.6800176501274109,-0.2190829381065708,-0.0561264015007236,"[0.9842717051506042, 0.34, 6.0, 99.23, 0, 0, 0, 0.5]","[0.0024265225511044264, 0.7003, 11.5, 87.21, 0, 0, 0, 0.2608695652173913]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,6,adaptive,0.5624463144956022,0.7927883863449097,0.0637173556896618,0.711035559096442,"[0.001529116416350007, 0.2732, 11.0, 85.69, 0, 0, 0, 0.36363636363636365]","[0.0011751109268516302, 0.7783, 12.0, 78.25, 0, 0, 0, 0.4166666666666667]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,7,adaptive,0.5019714111310349,0.7442137598991394,-0.3222059916753097,-0.5985503878884577,"[0.014872678555548191, 0.6124, 8.0, 80.28, 0, 0, 0, 0.375]","[0.012681453488767147, 0.8402, 13.0, 62.85, 0, 0, 0, 0.3076923076923077]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,8,adaptive,0.5,0.6810541152954102,0.075231738404441,0.1825275695524338,"[0.8147234916687012, 0, 5.0, 93.81, 0, 0, 0, 0.4]","[0.01043633185327053, 0.9313, 17.5, 82.14, 0, 0, 0, 0.2857142857142857]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,9,adaptive,0.3433700895299942,0.696052074432373,0.6057455489233432,-0.3266396101475823,"[0.967210054397583, 0, 5.0, 83.32, 0, 0, 0, 0.2]","[0.0019836407154798508, 0.875, 16.5, 66.23, 0, 0, 0, 0.30303030303030304]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,10,adaptive,0.4507195990132759,0.6543716788291931,0.9652700166669508,-0.4698329438057373,"[0.9856262803077698, 0.34, 6.0, 73.85, 0, 0, 0, 0.5]","[0.0005963617586530745, 0.8885, 18.0, 64.71, 0, 0, 0, 0.25]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,11,adaptive,0.4877675100347972,0.7011739015579224,-0.2082141863712439,-0.6475894558472006,"[0.9204503297805786, 0, 5.0, 66.4, 0, 0, 0, 0.4]","[0.0019788211211562157, 0.9252, 12.0, 56.25, 0, 0, 0, 0.3333333333333333]"
67c35bed28161edad1829850,472b9360-408e-4a9e-88b6-378a33015815,12,adaptive,0.2839888714017025,0.6102908253669739,-0.0116585367245727,-0.1705230997587969,"[0.970952570438385, 0, 5.0, 83.32, 0, 0, 0, 0.4]","[0.041024915874004364, 0.9198, 11.5, 78.75, 0, 0, 0, 0.2608695652173913]"
